username,tweetcreatedts,text
YokL97,2022-03-25 11:21:53,@detikcom Cuk. Ikutin aja. Vaksin juga gratis. Bebal amat sih. Demi kebaikan elo juga sama keluarga elo di kampung.
ayenhen,2022-03-25 11:20:34,"@Helmi_Felis @jokowi 1. Ada jalan tol yang banyak pangkas waktu dan tidak macet
2. Pendemo dan kritik oposisi bebas berbicara
Coba jaman Orba bisa ilang nggak ketemu
3. Vaksin gratis dan kelompok kalian juga ikut merasakannya tapi malu mengadi kuinya
Dah gitu aja"
Lucyjas68111097,2022-03-25 10:52:52,@aleenaza_ @puanmaharani_ri Yukk jangan takut vaksin apalagi gratis lohh
thedorktorr,2022-03-25 10:49:26,"Maksud gue adalah, ga ada keuntungan yang diraih pemerintah dari syarat mudik, toh vaksin gratis. Kalau ada, apa coba (jujur gue ga tau, so enlighten me). Kalo dari segi kedokteran syarat itu emang pyur buat melindungi kita semua ga sih? #Mudik"
Hotlan7bela,2022-03-25 10:43:40,"@ShamsiAli2 Paham mu yg salah..

Vaksin Gratis..
Gimana kalo bayar..??
Utk melindungi rakyat..

Agama juga mengajarkan  kita utk menghindari bahaya."
Rizmaya__,2022-03-25 10:42:20,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
__RismaWidiono_,2022-03-25 10:38:54,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
yudimeno,2022-03-25 10:35:09,"@Hilmi28 Saya pilih gratis dan stock banyak.. 
Sampe di-uber2 buat ngambil... 
Kayak vaksin kemarin..."
Abdulazismuhar1,2022-03-25 10:24:14,"@andrecoustic @detikcom Masalahnya varian penyakitnya itu ga cuman Covid 19, kan mutasi delta, sekarang omicron, kalo gada omicron vaksin 2 aja cukup, nasibnya ada omicron mangkanya perlu booster, dan itu pun gratis, kalo merata pembangunan pendidikan aja ga merata anjing"
ariestarico2,2022-03-25 10:19:00,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
BiLLRaY2019,2022-03-25 10:16:02,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
timcobra09,2022-03-25 10:15:28,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
Urrangawak,2022-03-25 10:15:04,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
denni_sauya,2022-03-25 10:13:54,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
AV4tarPemburu,2022-03-25 10:11:02,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
darwoto1212,2022-03-25 09:44:42,"@gombal_tenan @Imam_piul @ShamsiAli2 Pernah dengar ide vaksin berbayar? lmudah2an anda gak trlewat beritanya, gegara banyak protes mk jd gratis deh.Dan mmg harus gratis krn belinya pakai duit rakyat. Jk jutaan org melakukan booster dalam 1 bulan kedepan agar bs mudik, kan hrs pesan vaksin lg, yg impor dpt cuan kan?"
benayaAP,2022-03-25 09:39:20,"@MonangDjihado @ShamsiAli2 Semoga tidak gampang di bodohi ya pak, ya gak mau bayar tes antigen, tinggal boster gratis, malah nanti di siapkan tmpt vaksin di kantong2 pemberangkatan mudik, kurang baik apa lagi pemerintah ? Pemerintah mau yg mudik aman gak terkena virus masih aja di nyinyirin https://t.co/hEngBUBgEL"
yunimoesseno,2022-03-25 09:23:57,"@scalpeltomorrow @geloraco Saya memilih tdk kokean komplaint, gercep ndaftar sejak awal stlah ada pengumuman. Keluarga kami 9 orang sdh dpt suntik komplit vaksin 1,2 &amp; booster. GRATIS ! Kami mau bebas pergi2, maka syarat2 nya kami penuhi. Alhamdulillah hidup jd lbh mudah dng manut aturan."
AbbasciputAbbas,2022-03-25 09:23:11,"@geol_anda @03__nakula Vaksin 2 x masih perlu + test antigen yg mesti membayar, hanya 1 x 24 jam. Booster gratis dan berlakunya lama."
DavidSetyawan_,2022-03-25 09:12:14,"7 jam setelah vaksin.

ya gak gimana2, cuma berharap dapet minyak 2 liter gratis setruk gede buat dijual 24 ribu."
krupukcebong,2022-03-25 09:10:38,@Stevaniehuangg vaksin 2x n booster gratis itu byk yg gak mau. Giliran pandemi gk selesai2 pemerintah gk becus. ada kelompok d suruh vaksin ribet. gmn coba?
yunimoesseno,2022-03-25 08:51:09,"@ShamsiAli2 Saya sdh dpt komplit vaksin 1,2 &amp; booster GRATIS ! gerak cepat langsung ndaftar sejak di awal stlah ada pengumuman. saya mau bebas pergi2, maka syarat2 nya saya penuhi. Raksah kokean komplain, ternyata hidup bs jd lbh mudah dmg ikuti aturan."
yunimoesseno,2022-03-25 08:41:29,"@ShamsiAli2 Saat ini waktunya booster. Kmarin2 waktunya vaksin 1 &amp; 2. Negara beri gratis smua! Yg tdk sdng sakit, sgera daftar, datangi centra vaksin,dpt kan suntik vaksin &amp; booster. Niatkan kejar, mumpung Mudik, Idul Fitri msh bulan dpan. Tdk perlu nyalahke siapa2 jk diri sndiri males gerak"
darwoto1212,2022-03-25 08:37:49,"@gombal_tenan @Imam_piul @ShamsiAli2 Org banyak yg sdh malas vaksin, maka yg blm vaksin dn yg sdh vaksin 2x namun blm Vaks Booster tetap hrs PCR klo mau mudik. PCR emang gratis? Klo yg mudik 1jt org brapa duit dpt bisnis PCR, klo per perorg kena by 200rb. tuh vaksin booster emang pemerintah beli pakai duit siapa?"
metronome21,2022-03-25 08:28:06,"Disuru vaksin dulu baru mudik aja kok pada ribet amat sih, vaksinnya gratis ini toh demi kebaikan bersama juga. Mudik kan ketemu orang tua dah sepuh tega emang kalau dah sepuh gitu kena covid"
